-027,-335,4191,2012-8-12|15:27:38:220
-045,-309,4217,2012-8-12|15:27:42:280
-031,-316,4161,2012-8-12|15:27:45:600
-032,-305,4188,2012-8-12|15:27:45:620
-042,-331,4171,2012-8-12|15:27:45:640
-031,-309,4191,2012-8-12|15:27:45:670
-031,-309,4213,2012-8-12|15:27:45:690
-055,-321,4165,2012-8-12|15:27:45:720
-015,-315,4166,2012-8-12|15:27:45:740
-033,-333,4202,2012-8-12|15:27:45:760
-042,-320,4173,2012-8-12|15:27:45:790
-026,-302,4202,2012-8-12|15:27:45:810
-035,-325,4178,2012-8-12|15:27:45:830
-049,-325,4187,2012-8-12|15:27:45:860
-029,-275,4191,2012-8-12|15:27:45:880
-041,-315,4196,2012-8-12|15:27:45:910
-031,-317,4194,2012-8-12|15:27:45:930
-022,-316,4181,2012-8-12|15:27:45:950
-064,-334,4169,2012-8-12|15:27:45:980
-035,-312,4174,2012-8-12|15:27:46:00
-038,-317,4172,2012-8-12|15:27:46:20
-031,-318,4187,2012-8-12|15:27:46:50
-035,-332,4192,2012-8-12|15:27:46:70
-037,-313,4157,2012-8-12|15:27:46:100
-034,-331,4159,2012-8-12|15:27:46:120
-051,-327,4195,2012-8-12|15:27:46:140
-038,-316,4205,2012-8-12|15:27:46:170
-060,-325,4207,2012-8-12|15:27:46:190
-037,-345,4176,2012-8-12|15:27:46:220
-048,-330,4189,2012-8-12|15:27:46:240
-034,-316,4176,2012-8-12|15:27:46:260
-046,-314,4185,2012-8-12|15:27:46:290
-041,-328,4206,2012-8-12|15:27:46:310
-047,-332,4203,2012-8-12|15:27:46:330
-061,-315,4214,2012-8-12|15:27:46:360
-069,-315,4214,2012-8-12|15:27:46:380
-018,-303,4179,2012-8-12|15:27:46:410
-037,-340,4185,2012-8-12|15:27:46:430
-043,-334,4176,2012-8-12|15:27:46:450
-042,-330,4159,2012-8-12|15:27:46:480
-031,-321,4203,2012-8-12|15:27:46:500
-045,-317,4191,2012-8-12|15:27:46:520
-014,-312,4200,2012-8-12|15:27:46:550
-051,-328,4177,2012-8-12|15:27:46:570
-031,-285,4193,2012-8-12|15:27:46:600
-046,-316,4169,2012-8-12|15:27:46:620
-024,-287,4218,2012-8-12|15:27:46:640
-046,-318,4195,2012-8-12|15:27:46:670
-019,-319,4204,2012-8-12|15:27:46:690
-022,-315,4201,2012-8-12|15:27:46:720
-049,-327,4171,2012-8-12|15:27:46:740
-031,-319,4201,2012-8-12|15:27:46:760
-005,-321,4185,2012-8-12|15:27:46:790
-022,-310,4195,2012-8-12|15:27:46:810
-031,-301,4204,2012-8-12|15:27:46:830
-014,-295,3972,2012-8-12|15:27:46:860
-059,-344,4178,2012-8-12|15:27:46:880
-055,-326,4174,2012-8-12|15:27:46:910
-046,-325,4184,2012-8-12|15:27:46:930
-019,-320,4196,2012-8-12|15:27:46:950
-039,-331,4182,2012-8-12|15:27:46:980
-046,-320,4176,2012-8-12|15:27:47:00
-060,-319,4187,2012-8-12|15:27:47:20
-026,-333,4182,2012-8-12|15:27:47:50
-031,-334,4166,2012-8-12|15:27:47:70
-028,-301,4189,2012-8-12|15:27:47:100
-038,-355,4146,2012-8-12|15:27:47:120
-058,-339,4166,2012-8-12|15:27:47:140
-067,-325,4191,2012-8-12|15:27:47:170
-032,-325,4167,2012-8-12|15:27:47:190
-056,-323,3974,2012-8-12|15:27:47:210
-024,-305,4220,2012-8-12|15:27:47:240
-034,-319,4202,2012-8-12|15:27:47:260
-038,-339,4163,2012-8-12|15:27:47:290
-042,-344,4199,2012-8-12|15:27:47:310
-052,-337,4202,2012-8-12|15:27:47:330
-042,-313,4210,2012-8-12|15:27:47:360
-015,-312,4190,2012-8-12|15:27:47:380
-017,-300,4200,2012-8-12|15:27:47:410
-049,-333,4153,2012-8-12|15:27:47:430
-057,-310,4198,2012-8-12|15:27:47:450
-041,-339,4169,2012-8-12|15:27:47:480
-041,-314,4177,2012-8-12|15:27:47:500
-025,-299,3984,2012-8-12|15:27:47:520
-027,-339,4201,2012-8-12|15:27:47:550
-047,-295,4197,2012-8-12|15:27:47:570
-042,-347,4193,2012-8-12|15:27:47:600
-056,-321,4205,2012-8-12|15:27:47:620
-044,-303,4196,2012-8-12|15:27:47:640
-027,-305,4219,2012-8-12|15:27:47:670
-042,-332,4177,2012-8-12|15:27:47:690
-016,-322,4175,2012-8-12|15:27:47:710
-062,-350,4175,2012-8-12|15:27:47:740
-024,-310,4211,2012-8-12|15:27:47:760
-028,-310,4198,2012-8-12|15:27:47:790
-032,-330,4195,2012-8-12|15:27:47:810
-060,-365,4164,2012-8-12|15:27:47:830
-038,-342,4197,2012-8-12|15:27:47:860
-022,-333,4203,2012-8-12|15:27:47:880
-019,-326,4167,2012-8-12|15:27:47:910
-058,-325,4185,2012-8-12|15:27:47:930
-063,-339,4175,2012-8-12|15:27:47:950
-062,-293,4188,2012-8-12|15:27:47:980
-030,-312,4185,2012-8-12|15:27:48:00
-029,-322,4202,2012-8-12|15:27:48:20
-010,-299,4211,2012-8-12|15:27:48:50
-036,-302,4164,2012-8-12|15:27:48:70
-045,-284,4166,2012-8-12|15:27:48:100
-059,-339,4174,2012-8-12|15:27:48:120
-049,-325,4190,2012-8-12|15:27:48:140
-038,-325,4172,2012-8-12|15:27:48:170
-060,-325,4185,2012-8-12|15:27:48:190
-034,-322,4191,2012-8-12|15:27:48:210
